username,cursornum,primary_id,cursor_id,x,y,rotated_angle,diameter,window_size,delay,speed_rate,time
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.02000046
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.02000046
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.02000046
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.02000046
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.02000046
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.02000046
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.02000046
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.02000046
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.02000046
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.02000046
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.02000046
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.02000046
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.02000046
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.02000046
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.02368164
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.02368164
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.02368164
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.02368164
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.02368164
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.02368164
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.02368164
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.02368164
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.02368164
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.02368164
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.02368164
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.02368164
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.02368164
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.02368164
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.02368164
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.02368164
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.02368164
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.02368164
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.02368164
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.02368164
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.02780151
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.02780151
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.02780151
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.02780151
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.02780151
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.02780151
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.02780151
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.02780151
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.02780151
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.02780151
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.02780151
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.02780151
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.02780151
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.02780151
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.02780151
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.02780151
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.02780151
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.02780151
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.02780151
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.02780151
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.04063225
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.04063225
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.04063225
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.04063225
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.04063225
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.04063225
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.04063225
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.04063225
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.04063225
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.04063225
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.04063225
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.04063225
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.04063225
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.04063225
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.04063225
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.04063225
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.04063225
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.04063225
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.04063225
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.04063225
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.05138016
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.05138016
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.05138016
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.05138016
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.05138016
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.05138016
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.05138016
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.05138016
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.05138016
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.05138016
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.05138016
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.05138016
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.05138016
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.05138016
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.05138016
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.05138016
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.05138016
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.05138016
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.05138016
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.05138016
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.0594368
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.0594368
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.0594368
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.0594368
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.0594368
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.0594368
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.0594368
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.0594368
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.0594368
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.0594368
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.0594368
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.0594368
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.0594368
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.0594368
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.0594368
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.0594368
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.0594368
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.0594368
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.0594368
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.0594368
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.06764412
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.06764412
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.06764412
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.06764412
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.06764412
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.06764412
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.06764412
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.06764412
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.06764412
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.06764412
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.06764412
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.06764412
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.06764412
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.06764412
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.06764412
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.06764412
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.06764412
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.06764412
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.06764412
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.06764412
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.07558823
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.07558823
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.07558823
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.07558823
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.07558823
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.07558823
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.07558823
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.07558823
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.07558823
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.07558823
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.07558823
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.07558823
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.07558823
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.07558823
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.07558823
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.07558823
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.07558823
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.07558823
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.07558823
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.07558823
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.08395576
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.08395576
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.08395576
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.08395576
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.08395576
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.08395576
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.08395576
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.08395576
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.08395576
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.08395576
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.08395576
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.08395576
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.08395576
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.08395576
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.08395576
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.08395576
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.08395576
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.08395576
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.08395576
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.08395576
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.09174347
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.09174347
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.09174347
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.09174347
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.09174347
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.09174347
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.09174347
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.09174347
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.09174347
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.09174347
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.09174347
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.09174347
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.09174347
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.09174347
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.09174347
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.09174347
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.09174347
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.09174347
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.09174347
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.09174347
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.09555054
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.09555054
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.09555054
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.09555054
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.09555054
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.09555054
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.09555054
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.09555054
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.09555054
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.09555054
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.09555054
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.09555054
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.09555054
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.09555054
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.09555054
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.09555054
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.09555054
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.09555054
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.09555054
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.09555054
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.1033611
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.1033611
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.1033611
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.1033611
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.1033611
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.1033611
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.1033611
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.1033611
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.1033611
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.1033611
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.1033611
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.1033611
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.1033611
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.1033611
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.1033611
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.1033611
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.1033611
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.1033611
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.1033611
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.1033611
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.1072655
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.1072655
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.1072655
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.1072655
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.1072655
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.1072655
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.1072655
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.1072655
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.1072655
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.1072655
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.1072655
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.1072655
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.1072655
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.1072655
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.1072655
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.1072655
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.1072655
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.1072655
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.1072655
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.1072655
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.1113243
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.1113243
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.1113243
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.1113243
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.1113243
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.1113243
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.1113243
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.1113243
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.1113243
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.1113243
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.1113243
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.1113243
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.1113243
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.1113243
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.1113243
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.1113243
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.1113243
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.1113243
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.1113243
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.1113243
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.1155872
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.1155872
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.1155872
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.1155872
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.1155872
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.1155872
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.1155872
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.1155872
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.1155872
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.1155872
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.1155872
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.1155872
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.1155872
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.1155872
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.1155872
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.1155872
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.1155872
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.1155872
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.1155872
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.1155872
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.1192684
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.1192684
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.1192684
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.1192684
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.1192684
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.1192684
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.1192684
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.1192684
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.1192684
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.1192684
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.1192684
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.1192684
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.1192684
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.1192684
f,20,14,1,-44.6348,261.7537,4.18879,20,540,500,2,0.1192684
f,20,15,13,-49.50134,-173.6825,4.45059,20,540,500,2,0.1192684
f,20,16,3,-265.2167,-226.64,4.712389,20,540,500,2,0.1192684
f,20,17,12,107.4321,-252.9755,4.974188,20,540,500,2,0.1192684
f,20,18,11,-3.486481,96.91846,5.235988,20,540,500,2,0.1192684
f,20,19,18,-50.95154,268.7371,5.497787,20,540,500,2,0.1192684
f,20,0,8,4.75592,-147.3257,0,20,540,500,2,0.1274452
f,20,1,17,-164.6594,-78.8645,0.7853982,20,540,500,2,0.1274452
f,20,2,7,-225.8314,180.0583,1.047198,20,540,500,2,0.1274452
f,20,3,16,-205.4676,144.8964,1.308997,20,540,500,2,0.1274452
f,20,4,5,5.244446,173.5492,1.570796,20,540,500,2,0.1274452
f,20,5,15,-160.994,19.28201,1.832596,20,540,500,2,0.1274452
f,20,6,4,255.0003,233.9785,2.094395,20,540,500,2,0.1274452
f,20,7,9,-239.6915,-143.1568,2.356194,20,540,500,2,0.1274452
f,20,8,19,195.4395,-231.3282,2.617994,20,540,500,2,0.1274452
f,20,9,10,-235.6088,160.1039,2.879793,20,540,500,2,0.1274452
f,20,10,6,188.5162,72.16955,3.141593,20,540,500,2,0.1274452
f,20,11,2,237.3707,-249.1032,3.403392,20,540,500,2,0.1274452
f,20,12,0,-129.4605,-183.3411,3.665191,20,540,500,2,0.1274452
f,20,13,14,-75.75272,-208.2665,3.926991,20,540,500,2,0.1274452
